clef;VIN;contrat;reference_version_id;code_mcclbp;Marque;Modele;Carrosserie;Carburant;Litre;Boite;Puissance;4RM;DateMEC;KM a date cote;Type;KM_VR;B2C today TTC;Date Cote;B2C futur TTC;ignore;Genre;metal;SurKM;DateVR;DateMEC;PRIX_NEUF_HT;B2B brut TTC;deprec_mensuel;km_vr_comment;date_vr_comment;Profil;Nb Ref;Ref Proba;RPI brut;RPI ambition;ambition;B2B ambition TTC
10397727908900002021-09-23 00:00:00;vf70bbhybje512648;10397727908;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-24;3040;ref;90000;19894;2018-11-12;12768;;vp;N;18000;2021-09-23;2018-09-24;19333;9838;0.987847;;;observable;1;0.8571;0.7705;0.7185;-0.05;9174
5144583600002021-10-07 00:00:00;vf70bbhybje516734;5144583;133506;VO-59-3462-2-22-1-1.60-99---N;CITROEN;C4 CACTUS;SOCIETE;DIESEL;1.6;MANUELLE;100;N;2018-10-08;1260;pneuf1;60000;0;2018-11-12;11798;;vup;Y;0;2021-10-07;2018-10-08;19450;9320;0.989334;;;rare;1;0.8783;0.7900;0.7380;-0.052;8707
103968174041700002021-09-05 00:00:00;vf70bbhybje517597;10396817404;135726;VO-59-3462-2-22-1-1.60-99---N;CITROEN;C4 CACTUS;SOCIETE;DIESEL;1.6;MANUELLE;100;N;2018-09-06;8540;pneuf1;170000;17208;2018-11-12;0;;vup;N;98000;2021-09-05;2018-09-06;19625;5316;0.984738;;;rare;1;0.8959;0.5346;0.4827;-0.052;4799
10397569300900002020-09-24 00:00:00;vf70bbhybje519031;10397569300;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-25;4440;ref;90000;18679;2018-11-12;13370;;vp;Y;42000;2020-09-24;2018-09-25;19333;9913;0.986239;;;observable;1;0.8571;0.7414;0.6919;-0.0495;9251
10397727306900002021-10-17 00:00:00;vf70bbhybje519045;10397727306;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-10-18;1070;ref;90000;21362;2018-11-12;13658;;vp;N;18000;2021-10-17;2018-10-18;19333;10524;0.988015;;;observable;1;0.8571;0.7705;0.7186;-0.052;9814
103946234041000002020-10-02 00:00:00;vf70bbhybje519446;10394623404;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-10-03;3840;ref;100000;18707;2018-11-12;13256;;vup;Y;52000;2020-10-02;2018-10-03;19333;8752;0.986001;;;observable;1;0.8571;0.6602;0.6107;-0.0495;8096
103981723021500002021-09-27 00:00:00;vf70bbhybje527391;10398172302;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-28;4520;ref;150000;18675;2018-11-12;10945;;vup;Y;78000;2021-09-27;2018-09-28;19333;6515;0.985429;;;observable;1;0.8571;0.5952;0.5433;-0.052;5946
5143013900002022-09-17 00:00:00;vf70bbhybje527394;5143013;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-18;2650;ref;90000;20678;2018-11-12;11382;;vp;Y;0;2022-09-17;2018-09-18;19333;9732;0.987699;;;observable;1;0.8571;0.8550;0.8056;-0.0495;9169
103981719021500002021-09-27 00:00:00;vf70bbhybje528719;10398171902;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-28;4520;ref;150000;18675;2018-11-12;10945;;vup;Y;78000;2021-09-27;2018-09-28;19333;6515;0.985429;;;observable;1;0.8571;0.5952;0.5433;-0.052;5946
51439791000002022-09-27 00:00:00;vf70bbhybje528729;5143979;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-28;2260;ref;100000;20957;2018-11-12;11309;;vp;N;4000;2022-09-27;2018-09-28;19333;9122;0.987378;;;observable;1;0.8571;0.8066;0.7571;-0.0495;8562
103981720001500002021-09-27 00:00:00;vf70bbhybje529167;10398172000;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-28;4520;ref;150000;18675;2018-11-12;10945;;vup;Y;78000;2021-09-27;2018-09-28;19333;6515;0.985429;;;observable;1;0.8571;0.5952;0.5433;-0.052;5946
10398695302600002021-10-01 00:00:00;vf70bbhybje529187;10398695302;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-10-02;1590;ref;60000;21126;2018-11-12;14230;;vp;N;0;2021-10-01;2018-10-02;19333;11625;0.989252;;;observable;1;0.8571;0.8169;0.7649;-0.052;10885
10398488906720002023-09-29 00:00:00;vf70bbhybje530282;10398488906;135730;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-28;1300;ref;72000;20028;2018-11-12;9601;;vp;N;0;2023-09-29;2018-09-28;19158;7844;0.98798;;;observable;1;0.8333;0.8170;0.7700;-0.047;7393
10398511409750002021-09-26 00:00:00;vf70bbhybje530298;10398511409;135730;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-27;2330;ref;75000;19584;2018-11-12;12834;;vp;Y;3000;2021-09-26;2018-09-27;20417;10869;0.988446;;;observable;1;0.8333;0.8469;0.7949;-0.052;10202
10398703709100002019-04-01 00:00:00;vf70bbhybje532504;10398703709;135728;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-10-02;1600;ref;10000;16662;2018-11-12;15480;;vp;Y;0;2019-04-01;2018-10-02;18500;13236;0.987944;;;observable;1;0.8333;0.8550;0.8280;-0.027;12818
103946227031000002020-10-08 00:00:00;vf70bbhybje533705;10394622703;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-10-09;3010;ref;100000;19895;2018-11-12;14055;;vup;Y;52000;2020-10-08;2018-10-09;19333;9280;0.985993;;;observable;1;0.8571;0.6603;0.6107;-0.0495;8584
103983691031200002021-10-09 00:00:00;vf70bbhybje534867;10398369103;133503;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-10-10;2300;ref;120000;20947;2018-11-12;12875;;vp;Y;48000;2021-10-09;2018-10-10;19333;9337;0.986872;;;observable;1;0.8571;0.7252;0.6732;-0.052;8667
5146806900002020-10-25 00:00:00;vf70byhxxje556212;5146806;2576922;VO-59-3462-2-5-2-1.60-120-N-EUR;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;AUTOMATIQUE;120;N;2018-10-26;620;pneuf1;90000;18310;2018-11-12;12723;;vp;Y;42000;2020-10-25;2018-10-26;21667;9433;0.985657;;;rare;1;0.8571;0.7414;0.6919;-0.0495;8803
5146037400002022-10-22 00:00:00;vf70byhxxje556220;5146037;2576922;VO-59-3462-2-5-2-1.60-120-N-EUR;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;AUTOMATIQUE;120;N;2018-10-23;220;pneuf1;40000;18312;2018-11-12;11262;;vp;Y;0;2022-10-22;2018-10-23;21667;9629;0.990214;;;rare;1;0.8571;0.8550;0.8055;-0.0495;9072
5146957600002021-10-23 00:00:00;vf70byhxxje557286;5146957;2576922;VO-59-3462-2-5-2-1.60-120-N-EUR;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;AUTOMATIQUE;120;N;2018-10-24;380;pneuf1;60000;18900;2018-11-12;12550;;vp;Y;0;2021-10-23;2018-10-24;23250;10730;0.989082;;;rare;1;0.8571;0.8550;0.8029;-0.052;10077
5146957600002021-10-23 00:00:00;vf70byhxxje557286;5146957;2576922;VO-59-3462-2-5-2-1.60-120-N-EUR;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;AUTOMATIQUE;120;N;2018-10-24;380;pneuf1;60000;18900;2018-11-12;12550;;vp;Y;0;2021-10-23;2018-10-24;23250;10730;0.989082;;;rare;1;0.8571;0.8550;0.8029;-0.052;10077
5146946600002021-10-24 00:00:00;vf70byhxxje557287;5146946;2576922;VO-59-3462-2-5-2-1.60-120-N-EUR;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;AUTOMATIQUE;120;N;2018-10-25;330;pneuf1;60000;18900;2018-11-12;12544;;vp;Y;0;2021-10-24;2018-10-25;23250;10725;0.989081;;;rare;1;0.8571;0.8550;0.8030;-0.052;10073
103953770041300002021-08-16 00:00:00;vf70byhyjje544326;10395377004;135726;VO-59-3462-2-22-1-1.60-99---N;CITROEN;C4 CACTUS;SOCIETE;DIESEL;1.6;MANUELLE;100;N;2018-08-17;8900;pneuf1;130000;17411;2018-11-12;10895;;vup;Y;58000;2021-08-16;2018-08-17;19625;7030;0.986707;;;rare;1;0.8959;0.6453;0.5932;-0.052;6463
103988988011600002020-10-04 00:00:00;vf70byhyjje544526;10398898801;118023;VO-59-3462-2-5-1-1.60-100---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-10-05;5700;ref;160000;17024;2018-11-12;11527;;vp;Y;112000;2020-10-04;2018-10-05;19500;6364;0.984209;;;observable;1;0.8794;0.5521;0.5026;-0.0495;5793
10397462509900002020-09-25 00:00:00;vf70byhyjje545327;10397462509;118023;VO-59-3462-2-5-1-1.60-100---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-26;4320;ref;90000;17347;2018-11-12;12470;;vp;N;42000;2020-09-25;2018-09-26;19500;8836;0.986432;;;observable;1;0.8794;0.7086;0.6591;-0.0495;8219
103961610031300002021-10-07 00:00:00;vf70byhyjje549467;10396161003;118023;VO-59-3462-2-5-1-1.60-100---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-10-08;2730;ref;130000;17674;2018-11-12;10713;;vup;N;58000;2021-10-07;2018-10-08;19500;6776;0.986475;;;observable;1;0.8794;0.6325;0.5805;-0.052;6219
10398605902600002022-09-26 00:00:00;vf70byhyjje550989;10398605902;102986;VO-59-3462-2-5-1-1.60-100---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-27;1400;ref;60000;20373;2018-11-12;11935;;vp;Y;0;2022-09-26;2018-09-27;20583;10204;0.989043;;;observable;1;0.8621;0.8550;0.8054;-0.0495;9613
103964630091500002021-09-27 00:00:00;vf70byhyjje552743;10396463009;135729;VO-59-3462-2-5-1-1.60-99---N;CITROEN;C4 CACTUS;4X4 S.U.V;DIESEL;1.6;MANUELLE;100;N;2018-09-28;4520;mcclbp;150000;17816;2018-11-12;10442;;vp;Y;78000;2021-09-27;2018-09-28;21333;6725;0.985429;;;observable;1;0.8794;0.6440;0.5920;-0.052;6182
